,Image,Accuracy,F1,Jaccard,Recall,Precision
0,fine_3_10_fram.jpg,0.78167724609375,0.057071306181626466,0.02937385523370192,0.040100018521948506,0.09894881170018281
1,fine_3_11_fram.jpg,0.9344635009765625,0.7423669845840082,0.5902890393971192,0.5938579654510556,0.9899216125419933
2,fine_3_12_fram.jpg,0.963043212890625,0.9130840450728486,0.8400686740623349,0.8431307575054675,0.9956953901541833
3,fine_3_13_fram.jpg,0.9869842529296875,0.9506907913752238,0.9060158660202733,0.9908422701530305,0.9136666666666666
4,fine_3_14_fram.jpg,0.96771240234375,0.9177485812018968,0.8479994253286401,0.8571739761835608,0.9875355529529865
5,fine_3_15_fram.jpg,0.886871337890625,0.7931015236925825,0.6571402145763966,0.660899493046835,0.9914184050791879
6,fine_3_16_fram.jpg,0.9924163818359375,0.9475683088933432,0.9003608660785886,0.9596153846153846,0.9358199624921859
7,fine_3_17_fram.jpg,0.9921722412109375,0.9711489792475114,0.9439160380452607,0.9730643525301477,0.9692411315671307
8,fine_3_18_fram.jpg,0.993438720703125,0.9689933660224979,0.9398517275143377,0.9717963552212902,0.9662064998561979
9,fine_3_19_fram.jpg,0.98126220703125,0.9427612566421181,0.8917203068512477,0.942585515891509,0.9429370629370629
10,fine_3_1_fram.jpg,0.9918365478515625,0.9738680212963414,0.949067022086824,0.9911513223304832,0.957177148343735
11,fine_3_20_fram.jpg,0.988525390625,0.9647973036232562,0.9319887853848241,0.9602124487513977,0.9694261523988711
12,fine_3_2_fram.jpg,0.9899444580078125,0.9732190027228025,0.9478350352252038,0.9851090086384204,0.9616125923546418
13,fine_3_3_fram.jpg,0.9912261962890625,0.9758474398286218,0.9528340579115742,0.9818274025864255,0.969939879759519
14,fine_3_4_fram.jpg,0.990386962890625,0.974755569802853,0.9507543187680763,0.970942763630558,0.9785984391342827
15,fine_3_5_fram.jpg,0.9934844970703125,0.9808460054725698,0.9624119718309859,0.9870000902771509,0.9747681883024251
16,fine_3_6_fram.jpg,0.97857666015625,0.9387167175905718,0.8845109813276302,0.8926614643865184,0.9897827687776142
17,fine_3_7_fram.jpg,0.96673583984375,0.9148637038194173,0.843086446411862,0.8460093896713615,0.9959187143950344
18,fine_3_8_fram.jpg,0.9241180419921875,0.8007851620398189,0.6677578834847675,0.6803485126948472,0.9730334890965732
19,fine_3_9_fram.jpg,0.9356536865234375,0.7249364033657296,0.568549212195621,0.6586464383074553,0.806063243400058
